feature	s__GGB30286_SGB43248	s__GGB30301_SGB43265	s__GGB30302_SGB43266	s__GGB30302_SGB43267	s__GGB30303_SGB43268	s__GGB30413_SGB43452	s__Atopobiaceae_bacterium_FL090493	s__Adlercreutzia_caecicola	s__Adlercreutzia_caecimuris	s__Adlercreutzia_mucosicola	s__Adlercreutzia_muris	s__Eggerthellaceae_bacterium	s__Enterorhabdus_sp_P55	s__GGB30048_SGB42949	s__Bacteria_unclassified_SGB41586	s__bacterium_0_1xD8_82	s__bacterium_1XD42_1	s__bacterium_1XD42_54	s__bacterium_1XD42_76	s__bacterium_1xD8_48	s__bacterium_D16_29	s__bacterium_D16_54	s__bacterium_D16_63	s__bacterium_D16_76	s__GGB31171_SGB44462	s__GGB28955_SGB41663	s__GGB28887_SGB41568	s__GGB28888_SGB41569	s__GGB28904_SGB41597	s__GGB28948_SGB41654	s__Bacteroidaceae_bacterium	s__Bacteroides_acidifaciens	s__Bacteroides_caecimuris	s__Bacteroides_uniformis	s__GGB28265_SGB40817	s__GGB24132_SGB35935	s__GGB24146_SGB35950	s__GGB24149_SGB35953	s__GGB27872_SGB40306	s__GGB27873_SGB40307	s__GGB27885_SGB40319	s__GGB27890_SGB40324	s__GGB27892_SGB40326	s__GGB27893_SGB40327	s__Duncaniella_dubosii	s__Duncaniella_freteri	s__Duncaniella_muris	s__GGB14013_SGB21440	s__GGB14014_SGB21441	s__GGB14022_SGB21449	s__Muribaculaceae_bacterium	s__Muribaculaceae_bacterium_Isolate_013_NCI	s__Muribaculaceae_bacterium_Isolate_110_HZI	s__Muribaculum_gordoncarteri	s__Muribaculum_intestinale	s__Paramuribaculum_intestinale	s__GGB28248_SGB40791	s__Odoribacter_sp_Z80	s__Prevotella_sp_PCJ2	s__Alistipes_sp	s__GGB24102_SGB35895	s__GGB24102_SGB40205	s__GGB27776_SGB40190	s__GGB27778_SGB40192	s__GGB27791_SGB40207	s__GGB27792_SGB40208	s__Rikenellaceae_bacterium	s__Parabacteroides_distasonis	s__Parabacteroides_goldsteinii	s__GGB31109_SGB44380	s__GGB27898_SGB40333	s__GGB14001_SGB21428	s__GGB27851_SGB40285	s__GGB23844_SGB35575	s__GGB27861_SGB40295	s__GGB27866_SGB40300	s__GGB27929_SGB40368	s__Mucispirillum_schaedleri	s__Lactobacillus_intestinalis	s__Lactobacillus_johnsonii	s__Lactobacillus_taiwanensis	s__Ligilactobacillus_murinus	s__Limosilactobacillus_reuteri	s__Streptococcus_danieliae	s__GGB31438_SGB44768	s__GGB31439_SGB44769	s__GGB31701_SGB45057	s__GGB31851_SGB45231	s__GGB31853_SGB45233	s__GGB42343_SGB59511	s__GGB42344_SGB59512	s__GGB28955_SGB41664	s__GGB28956_SGB41665	s__GGB28959_SGB41668	s__GGB28893_SGB41574	s__GGB28903_SGB41594	s__GGB28330_SGB40904	s__GGB28384_SGB40964	s__GGB28386_SGB40966	s__GGB28393_SGB40973	s__GGB28394_SGB40974	s__GGB28428_SGB41011	s__GGB28431_SGB41014	s__GGB28433_SGB41016	s__GGB28437_SGB41020	s__GGB28779_SGB41432	s__GGB28881_SGB41561	s__GGB28929_SGB41629	s__GGB28934_SGB41635	s__GGB28945_SGB41650	s__GGB28949_SGB41655	s__GGB28980_SGB41692	s__GGB28996_SGB41712	s__GGB29002_SGB41718	s__GGB29003_SGB41719	s__GGB29531_SGB42317	s__GGB29546_SGB42338	s__GGB30142_SGB43067	s__GGB30408_SGB43438	s__GGB28404_SGB40986	s__GGB28416_SGB40998	s__GGB28422_SGB41005	s__Candidatus_Arthromitus_sp_SFB_mouse	s__Clostridiaceae_bacterium	s__Clostridiaceae_unclassified_SGB41645	s__GGB28988_SGB41701	s__GGB28989_SGB41702	s__GGB30145_SGB43072	s__GGB30147_SGB43074	s__Emergencia_sp_1XD21_10	s__Clostridiales_bacterium	s__Acetatifactor_muris	s__Dorea_sp_5_2	s__GGB25041_SGB36960	s__GGB28621_SGB41239	s__GGB28763_SGB41411	s__GGB28766_SGB41417	s__GGB28769_SGB41421	s__GGB28772_SGB41425	s__GGB28790_SGB41443	s__GGB28793_SGB41446	s__GGB28798_SGB41451	s__GGB28803_SGB41457	s__GGB28807_SGB41461	s__GGB28836_SGB41496	s__GGB28841_SGB41505	s__GGB28846_SGB41513	s__GGB28849_SGB41516	s__GGB28851_SGB41518	s__GGB28861_SGB41531	s__GGB28869_SGB41543	s__GGB28870_SGB41546	s__GGB28870_SGB41549	s__GGB28873_SGB41553	s__GGB28875_SGB41555	s__GGB28879_SGB41559	s__GGB28916_SGB41612	s__GGB28926_SGB41623	s__GGB28927_SGB41625	s__GGB28963_SGB41672	s__GGB28968_SGB41679	s__GGB29005_SGB41723	s__GGB29006_SGB41724	s__GGB29006_SGB41725	s__Lachnospiraceae_bacterium	s__Lachnospiraceae_bacterium_28_4	s__Lachnospiraceae_bacterium_A2	s__Lachnospiraceae_bacterium_A4	s__Lachnospiraceae_bacterium_MD308	s__Lachnospiraceae_bacterium_MD335	s__Lachnospiraceae_bacterium_WCA_9_b2	s__Lachnospiraceae_unclassified_SGB41498	s__Roseburia_sp_1XD42_69	s__Schaedlerella_arabinosiphila	s__Oscillibacter_sp_1_3	s__Romboutsia_ilealis	s__Acutalibacter_muris	s__GGB29550_SGB42344	s__GGB30091_SGB43003	s__GGB30093_SGB43006	s__GGB30295_SGB43259	s__GGB30297_SGB43261	s__GGB30444_SGB43493	s__GGB30445_SGB43494	s__GGB30448_SGB43502	s__GGB30448_SGB43504	s__GGB30451_SGB43508	s__GGB30454_SGB43514	s__GGB30454_SGB43516	s__GGB30457_SGB43521	s__GGB30457_SGB43523	s__GGB30461_SGB43530	s__GGB30461_SGB43533	s__GGB30461_SGB63209	s__GGB30466_SGB43541	s__GGB30466_SGB43546	s__GGB30473_SGB43557	s__GGB30475_SGB63182	s__GGB3171_SGB4185	s__Neglecta_sp_X4	s__Pseudoflavonifractor_sp_60	s__Faecalibaculum_rodentium	s__GGB31184_SGB44478	s__Turicibacter_sp_TS3	s__Firmicutes_bacterium_ASF500	s__GGB30667_SGB43809	s__Parasutterella_excrementihominis	s__Turicimonas_muris	s__GGB28308_SGB40878	s__GGB28310_SGB40880	s__GGB28317_SGB40889	s__Helicobacter_hepaticus
220500001177-A03	0.01967	0.02341	0.03252	0	0.01188	0.00467	0	0.0114	0.09133	0.11599	0	0	0.04056	0.01755	0.415	0	0.00343	0.00776	0.01842	0.00467	0	0	0.0828	0	0	0	0.00073	0.08558	0.05987	0.01097	0.88606	0.46758	0.0797	0.60969	1.28514	0.82228	0.09981	0.14471	0.16843	0.2675	0.13146	0.50981	0.92088	0.29263	6.01165	0.28495	11.3745	1.37123	0.48175	6.42853	15.34065	0.24888	2.27003	0.64604	1.07403	5.47448	0.20748	0.37111	1.31509	0.12911	4.28561	2.4012	0.43777	4.33604	0.11706	0.75017	0.40187	0.12618	0.00537	0.29665	4.78525	0.44388	0	1.77417	0.36083	1.33637	0.66107	0.16434	0.13006	1.52931	0.81931	0.44518	0.62172	0	0	0.11728	0.18343	0.09065	0.01414	0.02419	0.04457	0.07717	0.02239	0	0.08509	0.2254	0.00423	0.86869	0.02577	0.25024	0.02134	0.07817	0.12465	0.01414	0.02802	0.25087	0	0	0.00912	0	0.03829	0.01958	0	0.08056	0.03509	0.0296	0.0014	0	0.18602	0.45954	1.98199	0.23441	0.10314	0.15742	0.03314	0.1192	0.08661	0	0	0.10715	0.30968	0	0.02892	0.29147	0.00738	0	0.00863	0	0	0.09408	0.05035	0	0.01109	0.01972	0.10436	0.00387	0.0155	0.03968	0.08379	0	0.12398	0.04293	0.0051	0	0.00136	0	0.00205	0	0.02083	0.01455	0.01366	0.36489	0	0.33669	0.08972	0	0.56274	0.03293	0.00748	0.10823	0.08514	1.16132	0.12665	0.04332	0.01581	0	0	0	0.07251	0.04082	0	0.02284	0.00894	0.02825	0.00459	0.07074	0.03512	0.00235	0	0.00302	0.03787	0.01112	0	0	0.02164	0.00289	0.03042	0.00351	0.27136	0.00226	0	0	0.01721	0	0	0	0.03847	0.16788	0.01052	0.08442	0.0059	1.54192
220500001177-A06	0.02115	0.00584	0.03907	0.00571	0.00129	0	0.02938	0.00504	0.02449	0.03144	0	0	0.01267	0	0.04494	0	0.0047	0.00056	0.00677	0.00119	0.00364	0	0.01628	0.00175	0	3e-04	0.00192	0.00543	0.00978	0.00075	0.21639	0.59189	0.08429	0.20334	0.00182	2.24148	0.72448	0.48866	0.67217	0.29217	0.12614	0.58727	0.43864	0.13479	2.21956	0.19863	4.48294	2.39019	9.50435	2.34608	13.58558	0.45608	3.41119	19.28424	2.80049	0.82904	0.9681	0.78375	0.60822	0.18404	1.2472	1.17602	0.37407	3.11763	0.41829	1.49196	1.4435	0.46055	0.02572	0.25223	9.59284	0.76957	0	0.65027	0.07387	0.46619	0	0.09855	0.21429	0.62703	0.0461	0.13519	0.21616	0	0	0.1841	0	0.02344	0.00332	0.01579	0	0	0	0.00548	0.00759	0.01222	0.00886	0.56016	0.00114	0	0.02819	0.0196	0	0.04915	0.04986	0.31208	0	0.01694	0.00437	0	0.01466	0.00014	0	0.06981	0.04654	0.00408	0	0	0.01736	0.12388	0.23469	0.06362	0	0.0047	0.01106	0.03468	0.01132	0.00126	0.00107	0.042	0.25075	0	0.00138	0.1026	0.00521	0	0.00621	0	0	0.02638	0.00456	0	0.00877	0.00429	0.00584	0.00151	0.00392	0.00388	0.00233	0	0.00184	0.01737	0.00669	0	0.00506	0	0.04016	0	0.00267	0.00075	0.00182	0	0	0.02386	0.02344	0	0.04938	0.12564	0.00619	0.01937	0.02741	0.16869	0	0	0.01556	0	0	0.0607	0.02512	0.01335	0	0.00865	0	0.01084	0.01668	0.00143	0.00395	0.07959	0	0	0.02271	0.00876	0.00571	0	0.00313	0.00132	0.04393	0.00103	0.24446	0.00334	0	0.62964	0.00416	0.37933	0	0.38099	0.06442	0.6199	0.02613	0.07688	0.00064	0.28919
220500001177-A09	0.10734	0.05807	0.02041	0.02457	0.0193	0.00336	0.15743	0.08294	0.836	1.11766	0.19953	0.02335	0.32409	0.07693	0.37735	0.00207	0.01929	0.07693	0.06176	0.07744	0.03401	0.01371	0.25271	0.00834	0.02686	0.00201	0.01719	0.14925	0.27482	0.03183	0.35249	0.24693	0.085	0.01409	0.00996	0.35747	0.08838	0.11598	0.18149	0	0.02558	0.08255	0.03586	0.1345	4.48809	1.82197	2.06636	0.07977	0	0.00423	16.11613	0.0093	0.05233	0.86945	0.27273	6.83831	1.57353	0.84201	0	0.036	3.26611	2.6145	0.08036	5.25151	0.01671	2.0194	0.15746	0.02165	0	0.17623	0.40832	0.60631	0	0.26827	0.53707	1.23776	1.76734	0.50786	2.1616	6.06429	1.50922	5.35587	4.90885	0.00907	0	0.20743	0.05276	0.12243	0.07912	0.04833	0.11514	0.02081	0.02092	0.02324	0.00557	0.21252	0.10083	1.47126	0.02352	0.11533	0.07247	0.10718	0.02697	0.01799	0.06319	1.00751	0.00392	0	0.0698	0.00491	0.1129	0.27859	0	0.1632	0.25355	0.03863	0.01941	0	0.08193	0.83815	0.46217	0.243	0.15005	0.11745	0.00687	0.40342	0.3741	0.07345	0.00816	0.2701	0.42885	0.00265	0.07602	0.90774	0.03997	0.0014	0.07486	0.0138	0.01031	0.21842	0.11979	0	0.15934	0.16918	1.36264	0.07955	0.06813	0.14235	0.06185	0	0.15475	0.108	0.01389	0	0.00968	0.00063	0.37645	0.0248	0.06197	0.0193	0.02928	0.0031	0	0.17682	0.67564	0	0.70795	1.38539	0.24001	0.08383	0.2629	0.80348	0.16333	0.0285	0.02768	0	0	0	0.15528	0.12572	0.00228	0.03361	0	0.05353	0.01633	0.00793	0.07504	0.0833	0.00358	0.01638	0.25118	0.01779	0	0	0.06915	0.02189	0.13824	0.03222	0	0.03549	0.00196	0	0.17493	0.00433	0.00538	0	0.20668	0.12465	0.00761	0.38207	0.00236	0.5414
220500001177-B02	0.03894	0.08343	0.24184	0.00819	0.04381	0	0	0	0.03397	0.08642	0.00287	0	0.02844	0.00792	0.7557	0	0.01465	0	0.03358	0.02958	0.00485	0	0	0	0	0.23855	0	0.19528	0.16014	0.12611	0.45884	0.40531	0.09756	0	0.03384	0.92	0.04632	0.02218	0.32598	0.02584	0.079	0.10038	0.12106	0.17797	0.99297	0.2519	1.7896	0.35079	0.0664	1.83808	7.74885	0.09873	3.84394	10.22065	1.67223	2.64939	0.36106	1.40063	0.01843	0.15554	5.31164	2.18246	0.06113	6.14442	0.07124	0.9963	0.50221	0.13187	0.0097	0.11289	5.2368	0.29173	0	0.71505	0.01817	0.44197	0.16977	6.48229	0.00879	0.28829	0.28535	0.2564	0.12833	0	0	0	0	0.1894	0	0.13648	0.05166	0	0.06833	0.01982	0.39448	0.78372	0.04558	2.01902	0.01913	0	0.03067	0.28448	0.19751	0.11906	0.06846	0.25098	0	0	0.05104	0.03136	0.2327	0	0	0.55894	0.09625	0.06198	0.05151	0	0.38396	0.37775	0.92614	0.05133	0.07105	0.36174	0.04178	0	0	0	0	0	0	0	0.21814	0.09681	0.00875	0	0.12947	0	0	1.55997	0.19455	0	0.21756	0.21361	0.72637	0	0.13669	0.44042	0.67311	0	0.02442	0.07459	0	0.49006	0.03711	0.07239	0	0.00323	0.0397	0.10237	0.01885	7.80291	0	0.02331	0.33488	0	0.84525	0.69218	0	0.2736	0	0	0	0.01582	0.00062	0	0.05079	0	0.19574	0.01606	0	0.01596	0	0	0	0.07859	0.03361	0	0.04653	0	0.11659	0	0.00572	0	0.07378	0.06324	0.0239	0	0.07022	0	0	0	0	0.30222	0	0	0	0.1319	0.01664	0.15941	0	6.44437
220500001177-B05	0.0327	0.15308	0.57606	0.03416	0.12488	0.05676	0.00319	0	0.00865	0.01881	0	0	0.00038	0	0.32535	0.01044	0.06162	0	0.08004	0	0.0609	0	0.01028	0.00947	0	0.02662	0.17118	0.14762	0.19059	0.04794	0.07274	0.28115	0.09925	0.49393	0	0.51262	0.40253	0.39507	0.31935	0.09215	0.0886	0.30138	0.71917	0.13929	0.57345	0.41611	1.16317	1.25039	1.62374	1.16875	7.9212	0.4319	1.236	11.68049	0.54736	3.05472	2.00356	1.5801	0.59471	0.24477	3.1214	1.61257	0.28344	6.80986	0.24165	1.15197	0.50602	0.28668	0.00664	0.4483	7.44714	0.25398	0	1.93107	0.01714	0.50696	0.02392	3.05324	0.16236	0.36962	0.0101	0.20389	0.13548	0	2.36089	0	0	0.20682	0.09897	0.07336	0.02916	0	0.07676	0.07015	0.13425	0.20615	0.22202	1.24338	0.02111	0	0.02419	0.0169	0.02539	0.1957	0.09041	0.44805	0.01454	0.66642	0.13038	0.00015	0.27045	0.04859	0	0.71869	0.15625	0.16666	0.10803	0.11049	0.22464	0.45138	0.77297	0.36493	0.01407	0.21514	0.03834	0.90531	0.21086	0	0.01214	0.07579	0.37861	0.00569	0.10763	0.85795	0.05194	0.01845	0.0823	0	0.00298	0.54792	0.23625	0.02456	0.21311	0.07727	0.02708	0	0.16543	0.16903	0.15013	0	0.1539	0.14706	0.04452	0.84479	0.00652	0	0.00578	0.06387	0.1479	0.10349	0.06888	0.04358	0	0.1359	0.36835	0.03262	3.03724	1.9119	0.11806	0.3044	0.09778	1.68295	0.88903	0.0319	0.05519	0	0.0431	0	0.44299	0.10616	0.00023	0.06764	0	0.12347	0.22558	0.02648	0.11753	0.57335	0.48901	0.04657	0.39641	0.29245	0.03385	0.01529	0.17993	0.07677	0.20339	0.03329	0.24533	0.1031	0.00604	0.05162	0.00387	0	0	0	0.01007	0.26252	0.04846	0.22546	0.07469	0.68849
220500001177-B08	0.06254	0.06771	0.22364	0.04069	0.03299	0.06572	0.23074	0.07843	0.52468	0.59749	0.07919	0.01113	0.21134	0.12211	0.18202	0.02984	0.02097	0.13029	0.04295	0.00516	0.07166	0.03019	0.05387	0.02138	0.0371	0.04255	0.04808	0.15902	0.4591	0.05383	0.03519	0.27159	0.06635	0.02615	0.00072	0.42637	0.28737	0.23818	0.20028	0.01918	0.05487	0.16418	0.15502	0.18801	3.58597	0.90278	2.75596	0.18121	0.02386	2.09363	12.18078	0.16063	0.83478	4.82305	0.29999	4.55802	1.25916	1.02156	0.01594	0.6073	5.87124	1.30914	0.21071	10.11102	0.08832	2.67088	0.29764	0.07517	0.00264	0.63257	3.84279	0.33708	0	0.37077	0.43193	0.76144	0.90827	0.28746	0.00513	0.48497	1.08712	2.178	0.88668	0.0012	1.30285	0	0	0.02399	0.07065	0.07609	0.06361	0	0.0752	0.06831	0.03058	0.33053	0.14394	1.33328	0.02083	0	0.0716	0.23674	0.073	0.09896	0.10366	0.778	0.01126	0.08414	0.08967	0.00846	0.11402	0.06659	0	0.42783	0.04747	0.06434	0.25378	0.05744	0.09318	0.28514	1.01334	0.07679	0.0617	0.05152	0.04282	0.08104	0.21178	0.01658	0.02362	0.24051	0.81174	0.0092	0.08322	1.1327	0.08178	0.0459	0.10753	0.02182	0.00131	0.07427	0.10541	0	0.14316	0.05234	0.16025	0	0.15954	0.10364	0.06658	0	0.08405	0.1519	0.05191	0.1995	0.0288	0.0062	0.01415	0.10822	0.2047	0.03564	0.03261	0.00065	0	0	0.60964	0	0.53972	0.85603	0.2201	0.05094	0.07065	0.68471	0.24179	0.01287	0.11776	0	0.02174	0	0.15007	0.1003	0.0055	0.10902	0	0.06628	0.08128	0.04378	0.02873	0.19884	0.10343	0.03331	0.17117	0.06005	0.08617	0.01601	0.07538	0.07461	0.12616	0.03084	0.07264	0.05596	0.00523	1.22218	0.10517	4.64028	0.00216	0	0.02401	0.35194	9e-05	0.10705	0.00173	1.44987
220500001177-C03	0.1738	0.17177	0.18955	0.08771	0.21443	0	0.05217	0	0.03459	0.03218	0	0.00065	0.00597	0.01366	2.86181	0	0.13362	0	0.07857	0.42783	0.25487	0.11324	0.00248	0.02234	0	0.22596	0.00372	0.81452	0.13426	0.20809	4.5407	0.59709	0.05889	0.04737	0.94991	1.17096	0.58663	0.5156	0.33451	0.10282	0.06291	0.21955	0.10128	0.29751	1.16763	0.08244	3.33045	0.35869	3.96543	3.90182	9.75496	0.89603	5.72137	0	1.7321	4.90605	0.07779	0.09366	0.38338	0.24994	1.99457	0.90403	0.21114	1.04239	0.18768	0.52487	1.09294	0.43785	0.05974	0.1757	7.41131	0.72467	0	0.49995	0.15787	0.22079	0.33455	1.30851	0	0	0.01099	0	0.00597	0	0	0	0	0.0646	0	0.04172	0	0	0.08267	0.04446	0	0.9161	0.02007	0.20151	0.05351	0.00132	0.05371	0.01369	0.04955	0.31685	0.12586	0.24317	0.05037	0	0.15197	0	0.10939	0.01949	0.0113	0	0.21467	0.17474	0.41848	0	0.3679	0.106	0.42909	0.60386	0	0.19512	0.18505	0.7549	0.0111	0.01161	0	0.03304	0.20331	0.00598	0	0.04959	0.09522	0	0.07191	0.05108	0.03614	0	0.55315	0	0.35044	0.03498	0	0.01253	0.21501	0.01228	0.58697	0	0.04504	0.29843	0.0834	0	0.03383	0.29644	0	0.34348	0.21564	0.20702	0.06241	0.89132	0	0	0.20039	0	3.73724	5.14373	0.04963	0.77729	0	0.00271	0	0	0.02864	0	0.01861	0	0.33234	0.12314	0	0.21005	0	0.18594	1.28757	0.14375	0.09136	0.46864	0.46865	0.06988	1.44273	0.13718	0	0.0316	0.184	0.11071	0.15539	0.0238	0.33733	0.04341	0	0.18517	0	0.04899	0.00537	0.30933	0.01515	0.38963	0.13502	0.58715	0.17058	1.73049
220500001177-C06	0.18958	0.06468	0.30199	0.0413	0.08636	0.02108	0.00143	0	0.00604	0.00686	0	0	0.00188	0	0.7715	0.00328	0.02253	0.00238	0.03914	0.03647	0.09903	0.01134	0.00638	0.01668	0	0.01063	0.0932	0.10843	0.41349	0.02045	0.21471	0.3812	0.12119	0.45015	0.14006	0.95362	0.34204	0.36148	0.26715	0.07098	0.06523	0.39896	0.86783	0.38547	1.73678	0.53609	2.16521	0.63911	7.02828	0.63325	10.03624	0.99309	1.4493	3.41829	0.6371	1.33397	1.42709	1.97926	0.31903	0.38229	5.60493	2.89044	0.38636	12.96288	0.45072	2.04935	1.88552	0.38886	0.0186	0.79261	3.26113	0.48813	0	1.85424	0.17551	0.68616	0.21385	0.48797	0.15612	0.2895	0.0244	0.24505	0.08311	0	0	0.05135	0	0.02466	0.06868	0.11798	0	0	0.01221	0.03943	0.14002	0.16661	0.10293	2.42978	0.06282	0.07727	0.05567	0.45379	0.2717	0.95713	0.3513	0.81326	0.00689	0.28209	0.06586	0	0.02761	0.0304	0.18064	0.28802	0.13577	0.07645	0.15009	0.01506	0.15391	1.14906	1.26036	0.32196	0.00626	0.09262	0.02728	0.152	0.0587	0.01397	0.0472	0.05336	0.18481	0.00426	0.0302	1.83998	0.04399	0	0.03794	0.00443	0	0.18977	0.20445	0.0123	0.15677	0.05015	0.13645	0.03057	0.08642	0.08574	0.05941	0.17497	0.13952	0.0897	0.0444	0	0.0013	0.13321	0.51022	0.01949	0.05775	0.04021	0.03637	0.0958	0.55719	0	0.307	0	0.18019	0.19788	0.02819	0.21864	0.16172	0.32165	0.2284	0.00561	0.02987	0	0.2042	0	0.23049	0.07718	0.00217	0.04124	0.00112	0.10993	0.24493	0.04859	0.13804	0.54424	0.12185	0.31757	0.14391	0.09003	0.10123	0.04233	0.10682	0.0289	0.14845	0.04361	0.29108	0.03765	0.00353	0	0	0.0241	0	0.22729	0.00824	0.14639	0.02564	0.18353	0.03475	1.19461
220500001177-C09	0.10815	0.06938	0.04282	0.00214	0.04747	0.012	0.0019	0.07729	0.66404	0.85833	0.04518	0.0442	0.37941	0.01241	1.07225	0.00618	0.00061	0.01634	0.0304	0.06713	0.03945	0.11761	0.50673	0.02178	0.00054	0.02809	0.00357	0.14267	0.63149	0.04333	0.03851	0.30846	0.04	0.02442	0.66162	0.51559	0.42759	0.55118	0.29991	0.02803	0.05046	0.34446	0.23543	0.21254	5.97611	0.86724	3.09768	0.1394	0.19708	1.47018	20.46242	0.31171	2.32543	0	0.58012	3.90529	1.31694	0.84345	0.01159	0.02408	2.49904	1.74215	0.12422	6.5572	0.03594	0.96004	0.32221	0.0656	0	0.22642	1.72756	0.40535	0.03913	0.37094	0.6935	1.06065	0.30673	0.22608	0.07902	0.40234	1.19858	3.38162	1.23134	0.00246	0	0.09964	0	0.05586	0.05952	0.03327	0	0	0.05076	0.03007	0.02157	0.15763	0.21824	0.42258	0.01625	0.05787	0.04658	0.15918	0.12687	0.17771	0.09393	0.24249	0.00923	0	0.03562	0	0.08315	0.54852	0.07328	0.45347	0.06188	0.06425	0.07178	0.01361	0.19681	0.54669	1.10817	0.24071	0.06038	0.12576	0.04861	0.27329	0.07472	0.05368	0.06846	0.14303	0.41576	0.01066	0.0711	0.95329	0.02046	0.0281	0.17077	0.07123	0.00638	0.3336	0.01812	0	0.21379	0.06982	0.58256	0.05147	0.06681	0.12397	0.10345	0	0.00558	0.24691	0.30687	0	0	0.00191	0.73541	0.12483	0.15552	0.03705	0.0576	0	0.84648	0	0.97641	0	1.88145	0.94527	0.04667	0.19148	0.60549	1.36139	0.214	0.07678	0.03667	0.65859	0.23222	0	0.26696	0.05809	0.00591	0.04593	0.00184	0.02699	0.1063	0.03493	0.23917	0.4405	0.32672	0.15781	0.37008	0.06357	0.01937	0.01023	0.07623	0.02316	0.11162	0.02973	0.04932	0.04141	0	0.00238	0	2.36864	0	0	0.01732	0.45542	0.00411	0.6905	0.01694	0.4399
