feature	s__GGB30286_SGB43248	s__GGB30301_SGB43265	s__GGB30302_SGB43266	s__GGB30302_SGB43267	s__GGB30303_SGB43268	s__GGB30413_SGB43452	s__Atopobiaceae_bacterium_FL090493	s__Adlercreutzia_caecicola	s__Adlercreutzia_caecimuris	s__Adlercreutzia_mucosicola	s__Adlercreutzia_muris	s__Eggerthellaceae_bacterium	s__Enterorhabdus_sp_P55	s__GGB30048_SGB42949	s__Bacteria_unclassified_SGB41586	s__bacterium_0_1xD8_82	s__bacterium_1XD42_1	s__bacterium_1XD42_54	s__bacterium_1XD42_76	s__bacterium_1xD8_48	s__bacterium_1xD8_6	s__bacterium_D16_29	s__bacterium_D16_54	s__bacterium_D16_63	s__bacterium_D16_76	s__GGB31171_SGB44462	s__GGB28955_SGB41663	s__GGB28887_SGB41568	s__GGB28888_SGB41569	s__GGB28901_SGB41592	s__GGB28904_SGB41597	s__GGB28948_SGB41654	s__Bacteroidaceae_bacterium	s__Bacteroides_acidifaciens	s__Bacteroides_caecimuris	s__Bacteroides_uniformis	s__GGB28265_SGB40817	s__GGB24132_SGB35935	s__GGB24146_SGB35950	s__GGB24149_SGB35953	s__GGB27872_SGB40306	s__GGB27873_SGB40307	s__GGB27885_SGB40319	s__GGB27890_SGB40324	s__GGB27892_SGB40326	s__GGB27893_SGB40327	s__Duncaniella_dubosii	s__Duncaniella_freteri	s__Duncaniella_muris	s__GGB14013_SGB21440	s__GGB14014_SGB21441	s__GGB14022_SGB21449	s__Muribaculaceae_bacterium	s__Muribaculaceae_bacterium_Isolate_013_NCI	s__Muribaculaceae_bacterium_Isolate_110_HZI	s__Muribaculum_gordoncarteri	s__Muribaculum_intestinale	s__Paramuribaculum_intestinale	s__GGB28248_SGB40791	s__Odoribacter_sp_Z80	s__Prevotella_sp_PCJ2	s__Alistipes_sp	s__GGB24102_SGB35895	s__GGB24102_SGB40205	s__GGB27776_SGB40190	s__GGB27778_SGB40192	s__GGB27791_SGB40207	s__GGB27792_SGB40208	s__Rikenellaceae_bacterium	s__Parabacteroides_distasonis	s__Parabacteroides_goldsteinii	s__GGB31109_SGB44380	s__GGB27898_SGB40333	s__GGB14001_SGB21428	s__GGB27851_SGB40285	s__GGB23844_SGB35575	s__GGB27861_SGB40295	s__GGB27866_SGB40300	s__GGB27929_SGB40368	s__Mucispirillum_schaedleri	s__Lactobacillus_intestinalis	s__Lactobacillus_johnsonii	s__Lactobacillus_taiwanensis	s__Ligilactobacillus_murinus	s__Limosilactobacillus_reuteri	s__Streptococcus_danieliae	s__GGB31438_SGB44768	s__GGB31439_SGB44769	s__GGB31701_SGB45057	s__GGB31851_SGB45231	s__GGB31853_SGB45233	s__GGB42343_SGB59511	s__GGB42344_SGB59512	s__GGB28955_SGB41664	s__GGB28956_SGB41665	s__GGB28959_SGB41668	s__GGB28893_SGB41574	s__GGB28903_SGB41594	s__GGB28330_SGB40904	s__GGB28384_SGB40964	s__GGB28386_SGB40966	s__GGB28393_SGB40973	s__GGB28394_SGB40974	s__GGB28428_SGB41011	s__GGB28431_SGB41014	s__GGB28433_SGB41016	s__GGB28437_SGB41020	s__GGB28779_SGB41432	s__GGB28881_SGB41561	s__GGB28929_SGB41629	s__GGB28934_SGB41635	s__GGB28945_SGB41650	s__GGB28949_SGB41655	s__GGB28980_SGB41692	s__GGB28996_SGB41712	s__GGB29002_SGB41718	s__GGB29003_SGB41719	s__GGB29004_SGB41721	s__GGB29531_SGB42317	s__GGB29546_SGB42338	s__GGB30142_SGB43067	s__GGB30408_SGB43438	s__GGB28402_SGB40984	s__GGB28404_SGB40986	s__GGB28416_SGB40998	s__GGB28422_SGB41005	s__Candidatus_Arthromitus_sp_SFB_mouse	s__Clostridiaceae_bacterium	s__Clostridiaceae_unclassified_SGB41645	s__GGB28988_SGB41701	s__GGB28989_SGB41702	s__GGB30145_SGB43072	s__GGB30147_SGB43074	s__Emergencia_sp_1XD21_10	s__Clostridiales_bacterium	s__Acetatifactor_muris	s__Dorea_sp_5_2	s__GGB25041_SGB36960	s__GGB28621_SGB41239	s__GGB28763_SGB41411	s__GGB28766_SGB41417	s__GGB28769_SGB41421	s__GGB28772_SGB41425	s__GGB28790_SGB41443	s__GGB28793_SGB41446	s__GGB28798_SGB41451	s__GGB28803_SGB41457	s__GGB28807_SGB41461	s__GGB28836_SGB41496	s__GGB28841_SGB41505	s__GGB28846_SGB41513	s__GGB28849_SGB41516	s__GGB28851_SGB41518	s__GGB28861_SGB41531	s__GGB28868_SGB41542	s__GGB28869_SGB41543	s__GGB28870_SGB41546	s__GGB28870_SGB41549	s__GGB28873_SGB41553	s__GGB28875_SGB41555	s__GGB28879_SGB41559	s__GGB28916_SGB41612	s__GGB28926_SGB41623	s__GGB28927_SGB41625	s__GGB28963_SGB41672	s__GGB28968_SGB41679	s__GGB29005_SGB41723	s__GGB29006_SGB41724	s__GGB29006_SGB41725	s__Lachnospiraceae_bacterium	s__Lachnospiraceae_bacterium_28_4	s__Lachnospiraceae_bacterium_A2	s__Lachnospiraceae_bacterium_A4	s__Lachnospiraceae_bacterium_MD308	s__Lachnospiraceae_bacterium_MD335	s__Lachnospiraceae_bacterium_WCA_9_b2	s__Lachnospiraceae_unclassified_SGB41498	s__Roseburia_sp_1XD42_69	s__Schaedlerella_arabinosiphila	s__Oscillibacter_sp_1_3	s__Romboutsia_ilealis	s__Acutalibacter_muris	s__Anaerotruncus_colihominis	s__GGB29550_SGB42344	s__GGB30091_SGB43003	s__GGB30093_SGB43006	s__GGB30295_SGB43259	s__GGB30297_SGB43261	s__GGB30445_SGB43494	s__GGB30448_SGB43502	s__GGB30448_SGB43504	s__GGB30451_SGB43508	s__GGB30454_SGB43514	s__GGB30454_SGB43516	s__GGB30457_SGB43521	s__GGB30457_SGB43523	s__GGB30461_SGB43530	s__GGB30461_SGB43533	s__GGB30461_SGB63209	s__GGB30466_SGB43541	s__GGB30466_SGB43546	s__GGB30473_SGB43557	s__GGB30475_SGB63182	s__GGB3171_SGB4185	s__Neglecta_sp_X4	s__Pseudoflavonifractor_sp_60	s__Faecalibaculum_rodentium	s__GGB31184_SGB44478	s__Turicibacter_sp_TS3	s__Firmicutes_bacterium_ASF500	s__Parasutterella_excrementihominis	s__Turicimonas_muris	s__GGB28308_SGB40878	s__GGB28310_SGB40880	s__GGB28317_SGB40889	s__Helicobacter_hepaticus
220500001177-A07	0.05689	0.03546	0.21079	0.02622	0.02613	0.01467	0.00033	0.02228	0.29899	0.49424	0.06344	0.01691	0.20202	0.00672	0.36382	0.02424	0.00855	0.02485	0.06519	0	0	0.00131	0.10351	0.09536	0.0117	0	0.05817	0.00027	0.12691	0.01381	0.69418	0.10144	0	0.12331	0.07168	0	0.40697	0.33182	0.13992	0.27768	0.20226	0.00543	0.05721	0.09228	0.17176	0.08996	6.8903	0.06341	3.55376	0.07917	0	0.36166	13.60692	0	0.71042	0.0371	0.30102	4.81998	1.43126	0.98237	0	0.01552	4.45951	3.09877	0.18718	10.50936	0.03501	2.2945	0.43404	0.02194	0.00357	0.8259	0.59783	0.13549	0	0.24276	0.47518	1.08778	0.62989	0.2568	1.88389	4.70423	0.09865	3.25214	2.92436	0.00472	0	0	0	0.10972	0	0.01488	0.21617	0	0.08122	0.07498	0.00982	0.48606	0.09211	0.85902	0.01333	0	0.23732	0.13996	0.10703	0.05209	0.12003	0.40815	0.00966	0	0.12896	0.00473	0.61889	0.1045	0	0.56921	0.4113	0.00072	0.01539	0.15102	0.00074	0.19359	0	0.13916	4.61255	0.22847	0	0.2302	0.08103	0	0.07552	0.00283	0.04809	0.01701	0.0475	0.02243	0.06912	0.01373	0.00795	0.18674	0.10769	0.00649	0.00056	0.51759	0.04553	0.1168	0.12199	0.34591	1.40905	0	0.3029	0.98067	0.24685	0	0.07375	0.17451	0.18216	0.19022	0.13726	0.10301	0	0.00447	0.03647	0.08475	0.05283	0.02486	1.70643	0	0.05771	0.95609	0.10931	0.8336	0.83296	0.02311	0.26022	0	0.06413	8e-05	0.01132	0.03413	0	0.01985	0	0	0.10968	0.06132	0.00036	0.07189	0.02149	0.05321	0.04848	0.08911	0.12485	0.02947	0.22949	0.29185	0.00911	0.00867	0	0.04114	0.0215	0.14	0.01658	0.0348	0.00416	0	0	0	0	0.01788	0.10753	0	0.00316	0.08828	0	0.48678
220500001177-A08	0.1831	0.35467	0.23608	0.03741	0.1683	0.20613	0.00023	0.00542	0.18719	0.2607	0.00913	0.00674	0.11245	0.07419	3.13904	0.01667	0.0274	0.00274	0.20422	0.04852	0	0.01293	0.42101	0.20704	0.03869	0.04073	0.14122	0.08092	0.74434	0.01931	1.44583	0.07796	0	0.01734	0.00478	0.01022	0.0015	0.05062	0.01814	0.05207	0.01329	0	0	0.01358	0	0.01514	0.46589	0.15641	0.27009	0.00538	0	0.02932	1.20388	0	0.04688	0.0987	0.02773	0.65125	1.26562	0.2679	0	0.00602	1.69036	1.86855	0.04338	3.83882	0.00365	0.39842	0.04624	0.00526	0	0.38616	0.09259	0.01918	0	0.08551	0.04945	0.12134	0.0543	2.83548	0	0.10727	0.08787	0.00413	0.12589	0	0.43795	0.11312	0	0.29902	0.08939	0	0.24816	0	0.15703	0.04013	0.12905	3.28092	0.19533	1.16095	0.023	0	0.02547	0.26044	0.11265	0.0303	0.0457	0.44448	0.05269	9e-04	0.2624	0.01387	0.2294	0.6125	0.21966	1.06378	0.19467	0.13439	0.15291	0.11731	0.02302	1.65055	0.13584	0.87692	0.79515	0.38317	0.18964	0.80896	0.26051	0.16029	0.27947	0.25232	0.01835	0.09744	0.02833	0.03648	0.08836	5.61994	0.06736	0.0041	0.2986	0.01409	0.0348	2.39416	0.80049	0.37356	0.86827	1.5068	1.29351	0	0.22948	0.42369	0.22286	0.20913	0	0.36823	0.96043	0.13354	0	0.02562	0.39661	0.16751	0.26017	0.51345	0.24452	0.15437	0.03868	2.31052	0	2.07716	0.17088	17.93551	0.67115	0.0568	1.33672	0.40245	5.40928	0	0.64129	0.11909	0	0.01577	0.00261	0	0.5493	0.24203	0	0.14541	0.15185	0.13833	0.02463	0.39293	1.24937	0	0.03829	1.36785	0.13554	0.07453	0.01037	0.2123	0.23318	0.09226	0.07014	0.00141	0.07294	0.01446	0	0.00778	0.01202	0.00295	0	0.02041	0.10736	0.59242	0.18532	0.75427
220500001177-A09	0.10734	0.05807	0.02041	0.02457	0.0193	0.00336	0.15743	0.08294	0.836	1.11766	0.19953	0.02335	0.32409	0.07693	0.37735	0.00207	0.01929	0.07693	0.06176	0.07744	0	0.03401	0.01371	0.25271	0.00834	0.02686	0.00201	0.01719	0.14925	0	0.27482	0.03183	0.35249	0.24693	0.085	0.01409	0.00996	0.35747	0.08838	0.11598	0.18149	0	0.02558	0.08255	0.03586	0.1345	4.48809	1.82197	2.06636	0.07977	0	0.00423	16.11613	0.0093	0.05233	0.86945	0.27273	6.83831	1.57353	0.84201	0	0.036	3.26611	2.6145	0.08036	5.25151	0.01671	2.0194	0.15746	0.02165	0	0.17623	0.40832	0.60631	0	0.26827	0.53707	1.23776	1.76734	0.50786	2.1616	6.06429	1.50922	5.35587	4.90885	0.00907	0	0.20743	0.05276	0.12243	0.07912	0.04833	0.11514	0.02081	0.02092	0.02324	0.00557	0.21252	0.10083	1.47126	0.02352	0.11533	0.07247	0.10718	0.02697	0.01799	0.06319	1.00751	0.00392	0	0.0698	0.00491	0.1129	0.27859	0	0.1632	0.25355	0	0.03863	0.01941	0	0.08193	0	0.83815	0.46217	0.243	0.15005	0.11745	0.00687	0.40342	0.3741	0.07345	0.00816	0.2701	0.42885	0.00265	0.07602	0.90774	0.03997	0.0014	0.07486	0.0138	0.01031	0.21842	0.11979	0	0.15934	0.16918	1.36264	0.07955	0.06813	0.14235	0.06185	0	0	0.15475	0.108	0.01389	0	0.00968	0.00063	0.37645	0.0248	0.06197	0.0193	0.02928	0.0031	0	0.17682	0.67564	0	0.70795	1.38539	0.24001	0.08383	0.2629	0.80348	0.16333	0.0285	0.02768	0	0	0	0	0.15528	0.12572	0.00228	0.03361	0.05353	0.01633	0.00793	0.07504	0.0833	0.00358	0.01638	0.25118	0.01779	0	0	0.06915	0.02189	0.13824	0.03222	0	0.03549	0.00196	0	0.17493	0.00433	0.00538	0.20668	0.12465	0.00761	0.38207	0.00236	0.5414
220500001177-B07	0.15882	0.12206	0.0653	0.12757	0.15653	0	0.00273	0.01598	0.1312	0.25329	0.0237	0.00582	0.12083	0.02505	2.49161	0.04188	0.0445	0	0.1455	0.007	0	0.07089	0.16933	0.14279	0.07062	0	0.25032	0.00656	0.42724	0.00624	3.06101	0.30118	0.17163	0.0486	0.01114	0	0.04747	0.12699	0.07042	0.08096	0.07535	0	0.01124	0.05935	0.04791	0.01445	0	1e-04	1.15592	0.03683	0	0.0028	5.16892	0.01006	0.51781	1.36623	0.11218	1.45193	0.7251	0.63224	0	0	1.33052	1.10118	0.03947	3.09992	0.02176	0.27996	0.14386	0.00761	0	0.26326	2.49465	0.03358	0	0.11545	0.15239	0.27625	0.08497	0.91473	0.32499	0.61458	0	0.3267	0.62037	0	0	0	0	0.44986	0	0.03131	0.08852	0	0.14965	0.15154	0.33036	0.3179	0.17817	0.39032	0.017	0	0.05754	0.48084	0.22048	0.20101	0.01169	0.17284	0.05789	0.01343	0.0623	0.02868	0.38568	0.40098	0	0.80124	0.8108	0	0.1483	0.12082	0	1.18931	0.15527	0.10249	0	0.54998	0	1.03196	0.11913	0.02193	0.00547	0.00315	0.0073	0	0.00163	0.07117	0.08824	0.05262	0.03315	0	0.42665	0.02585	0.01509	1.60099	0.29321	1.31691	0.83347	0.42393	0.29691	0	0.54135	1.87085	2.38082	0	0.0083	1.12666	0.8503	0.16907	1.57076	0	0	0.18938	0.14034	1.32402	0.45116	0.10905	17.18538	0	0.35711	4.39733	0.08628	8.89715	3.79136	0.07011	0.47179	0	0.2174	0	0.26061	0.06625	0	0.58998	0	0.00699	0.9557	0.14245	0.0054	0.12907	0.04672	0.04457	0.04494	0.19569	0.87801	0.15656	0.09769	0.30116	0.01483	0.10455	0.00236	0.15134	0.16417	0.1253	0.02845	0.00206	0.04644	0.02128	0	0	0	0.01287	0.01534	0	0.01733	0.9455	0.03004	0.79983
220500001177-B08	0.06254	0.06771	0.22364	0.04069	0.03299	0.06572	0.23074	0.07843	0.52468	0.59749	0.07919	0.01113	0.21134	0.12211	0.18202	0.02984	0.02097	0.13029	0.04295	0.00516	0.42063	0.07166	0.03019	0.05387	0.02138	0.0371	0.04255	0.04808	0.15902	0	0.4591	0.05383	0.03519	0.27159	0.06635	0.02615	0.00072	0.42637	0.28737	0.23818	0.20028	0.01918	0.05487	0.16418	0.15502	0.18801	3.58597	0.90278	2.75596	0.18121	0.02386	2.09363	12.18078	0.16063	0.83478	4.82305	0.29999	4.55802	1.25916	1.02156	0.01594	0.6073	5.87124	1.30914	0.21071	10.11102	0.08832	2.67088	0.29764	0.07517	0.00264	0.63257	3.84279	0.33708	0	0.37077	0.43193	0.76144	0.90827	0.28746	0.00513	0.48497	1.08712	2.178	0.88668	0.0012	1.30285	0	0	0.02399	0.07065	0.07609	0.06361	0	0.0752	0.06831	0.03058	0.33053	0.14394	1.33328	0.02083	0	0.0716	0.23674	0.073	0.09896	0.10366	0.778	0.01126	0.08414	0.08967	0.00846	0.11402	0.06659	0	0.42783	0.04747	0.03018	0.06434	0.25378	0.05744	0.09318	0	0.28514	1.01334	0.07679	0.0617	0.05152	0.04282	0.08104	0.21178	0.01658	0.02362	0.24051	0.81174	0.0092	0.08322	1.1327	0.08178	0.0459	0.10753	0.02182	0.00131	0.07427	0.10541	0	0.14316	0.05234	0.16025	0	0.15954	0.10364	0.06658	0	0.08942	0.08405	0.1519	0.05191	0.1995	0.0288	0.0062	0.01415	0.10822	0.2047	0.03564	0.03261	0.00065	0	0	0.60964	0	0.53972	0.85603	0.2201	0.05094	0.07065	0.68471	0.24179	0.01287	0.11776	0	0.02174	0	0	0.15007	0.1003	0.0055	0.10902	0.06628	0.08128	0.04378	0.02873	0.19884	0.10343	0.03331	0.17117	0.06005	0.08617	0.01601	0.07538	0.07461	0.12616	0.03084	0.07264	0.05596	0.00523	1.22218	0.10517	4.64028	0.00216	0.02401	0.35194	9e-05	0.10705	0.00173	1.44987
